 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 2000 10 16     0.03768     0.03265     0.03315     0.03346     0.03065     0.04055     0.03199     0.03171     0.03326     0.03064     0.04801     0.05553     0.03597     0.03959     0.03351
 2000 11 15     0.03942     0.03531     0.03699     0.03515     0.03029     0.03513     0.03177     0.03381     0.03818     0.03437     0.04210     0.05998     0.03984     0.04285     0.03643
 2000 12 16     0.03418     0.03677     0.03825     0.03801     0.03997     0.03238     0.03377     0.03646     0.04014     0.04535     0.04263     0.05914     0.04609     0.04246     0.04466
 2001  1 16     0.03421     0.03632     0.03334     0.03606     0.03520     0.02995     0.03152     0.02785     0.04215     0.05643     0.04179     0.05941     0.04663     0.03802     0.05123
 2001  2 14     0.03486     0.03779     0.03092     0.03254     0.03297     0.02887     0.03237     0.02624     0.03729     0.06365     0.03871     0.05806     0.04368     0.03656     0.04490
 2001  3 16     0.03374     0.03672     0.03134     0.03145     0.03050     0.02991     0.03318     0.02621     0.03274     0.04799     0.03798     0.05466     0.04263     0.03815     0.04523
 2001  4 15     0.03437     0.03447     0.03074     0.02964     0.02986     0.03364     0.03213     0.02635     0.02785     0.02967     0.04058     0.04826     0.03843     0.03632     0.03120
 2001  5 16     0.03517     0.03369     0.03264     0.03337         NaN     0.03409     0.03101         NaN         NaN         NaN     0.04044     0.05709     0.03876     0.03289     0.03357
 2001  6 15     0.03482     0.03336     0.03629     0.04104         NaN     0.03523     0.03082         NaN         NaN         NaN     0.03918     0.05752     0.04248         NaN         NaN
 2001  7 16     0.03480     0.03054     0.03250     0.03302         NaN     0.03399     0.02905         NaN         NaN         NaN     0.03922     0.05440     0.03497     0.03107         NaN
 2001  8 16     0.03623     0.03029     0.03099     0.03074     0.02820     0.03647     0.02927     0.02801     0.02757         NaN     0.04172     0.05963     0.03225     0.03202     0.03077
 2001  9 15     0.03832     0.03098     0.03210     0.03126     0.02964     0.04763     0.03344     0.02842     0.02864     0.03084     0.04295     0.05449     0.03313     0.03328     0.02996
 2001 10 16     0.03846     0.03181     0.03344     0.03458     0.03230     0.03937     0.03238     0.03013     0.03629     0.03023     0.04497     0.05433     0.03638     0.03809     0.03153
 2001 11 15     0.03601     0.03418     0.03985     0.03997     0.03103     0.03607     0.03274     0.03655     0.04828     0.05492     0.03941     0.05870     0.03929     0.04844     0.03755
 2001 12 16     0.03055     0.03147     0.04013     0.04230     0.03742     0.03072     0.03247     0.03601     0.03942     0.08469     0.03676     0.05563     0.04386     0.04961     0.04468
 2002  1 16     0.03064     0.03249     0.03016     0.03290     0.03631     0.02812     0.03080     0.03047     0.03547     0.07497     0.03439     0.05672     0.04355     0.03710     0.04002
 2002  2 14     0.03089     0.03428     0.03083     0.03116     0.03253     0.02779     0.03060     0.02775     0.03158     0.06097     0.03432     0.05162     0.03700     0.03621     0.03971
 2002  3 16     0.03327     0.03481     0.02981     0.02882     0.03051     0.02887     0.02985     0.02580     0.02850     0.03822     0.03677     0.05053     0.03595     0.03405     0.03826
 2002  4 15     0.03565     0.03568     0.03032     0.02835     0.02928     0.03253     0.03025     0.02625     0.02435     0.03195     0.03857     0.05210     0.03574     0.03367     0.03891
 2002  5 16     0.03557     0.03458     0.03274     0.03234         NaN     0.03356     0.03010         NaN         NaN         NaN     0.04081     0.05746     0.03803     0.03252     0.03178
 2002  6 15     0.03407     0.03344     0.04154     0.04265         NaN     0.03508     0.03124         NaN         NaN         NaN     0.04117     0.06276     0.04065         NaN         NaN
 2002  7 16     0.03446     0.03127     0.03588     0.03526         NaN     0.03505     0.03024         NaN         NaN         NaN     0.04038     0.07876     0.03564     0.02991         NaN
